name price daily_cost daily_return fail_prob repair_cost repair_time
OmniDroid 136.699 82.266 153.467 0.389 54.291 4
Titanium-9 137.232 85.138 161.586 0.396 47.052 4
Voltis 138.734 82.401 138.044 0.336 51.26 4
CyberBot 138.422 84.475 159.891 0.341 50.943 4
Metalithium 137.192 86.079 139.18 0.389 49.603 4
Voltotron 156.703 81.808 100.195 0.397 61.723 4
Omega 147.077 86.712 179.439 0.372 57.547 4
DynaSteel 135.003 89.086 110.746 0.315 47.504 4
Cybrosauro 137.798 87.854 134.209 0.358 53.817 4
Cogsworth 159.808 80.451 96.859 0.368 58.924 4
QuantumXAI 153.364 87.813 133.296 0.337 57.249 4
BoltBlast 146.612 80.683 114.049 0.363 57.166 4
Sprockettron 141.161 87.115 116.575 0.318 54.923 4
Synthazor 145.687 88.821 161.671 0.338 57.779 4
Vortexflare 142.992 82.346 91.372 0.334 52.769 4
DigiBot 137.059 88.047 99.825 0.32 49.54 4
Voxalite 159.381 86.812 101.892 0.347 58.45 4
Autronix 146.007 81.006 116.813 0.335 56.511 4
Xylotron 153.095 83.23 167.028 0.352 53.304 4
RoboSage 135.502 86.738 172.538 0.383 51.329 4
CyberNexus 138.495 87.723 116.552 0.38 48.422 4
PulseBolt 152.55 83.197 108.536 0.315 53.024 4
Voltech 144.985 81.169 106.86 0.31 53.616 4
Titan 154.223 84.921 144.325 0.338 57.703 4
Circuitnova 133.39 86.307 178.931 0.354 50.148 4
Stellarix 145.367 89.927 163.035 0.307 51.182 4
Blitztronix 135.179 89.811 134.856 0.385 48.502 4
Nanorunner 149.997 85.896 101.829 0.303 55.097 4
Cybernova 138.541 86.353 109.196 0.348 48.927 4
Electrobyte 138.051 83.34 121.618 0.396 55.605 4
Dynomax 143.131 85.967 125.49 0.338 50.06 4
Robomax 159.717 82.016 130.604 0.308 60.593 4
Sprocket 149.29 81.43 110.695 0.324 57.354 4
Buzzmax 142.414 88.785 157.356 0.352 49.078 4
Cybernautico 143.008 86.932 126.509 0.372 54.507 4
NanoSpark 152.493 84.611 126.183 0.328 57.58 4
Robonectron 152.977 80.883 178.068 0.371 55.957 4
Techtronix 143.451 87.33 135.951 0.313 51.8 4
NeoDroid 135.25 87.761 170.267 0.301 54.535 4
Cybrik 143.867 81.972 131.018 0.376 50.665 4
Elexiconic 140.963 80.919 91.188 0.357 50.921 4
CortexBot 148.733 86.154 133.78 0.305 52.985 4
Roboria 146.134 88.283 136.5 0.385 56.805 4
Automonix 142.088 89.458 114.711 0.352 50.625 4
Cybertronix 144.781 83.224 111.855 0.395 55.452 4
Axion 134.49 80.453 177.179 0.353 51.64 4
Voltis 131.471 87.159 169.283 0.392 49.804 4
ByteMaster 157.192 83.166 102.913 0.317 56.236 4
RoboQuark 157.186 84.607 112.237 0.327 57.3 4
Glimbotech 139.616 80.554 142.557 0.317 54.837 4
Sparkstreamer 159.061 87.199 135.94 0.386 55.059 4
CyberTek9 151.474 83.383 179.73 0.322 52.148 4
Robonectron 140.37 82.076 166.801 0.334 49.019 4
AlphaX 134.641 85.968 146.622 0.315 46.164 4
